"Session","Session Date","Session Link"
"4th Assembly – 3rd Session","20170919","https://assembly.nu.ca/sites/default/files/Hansard_20170919.pdf"
"4th Assembly – 3rd Session","20170918","https://assembly.nu.ca/sites/default/files/Hansard_20170918.pdf"
"4th Assembly – 3rd Session","20170915","https://assembly.nu.ca/sites/default/files/Hansard_20170915.pdf"
"4th Assembly – 3rd Session","20170914","https://assembly.nu.ca/sites/default/files/Hansard_20170914.pdf"
"4th Assembly – 3rd Session","20170913","https://assembly.nu.ca/sites/default/files/Hansard_20170913.pdf"
"4th Assembly – 3rd Session","20170912","https://assembly.nu.ca/sites/default/files/Hansard_20170912.pdf"
"4th Assembly – 3rd Session","20170608","https://assembly.nu.ca/sites/default/files/Hansard_20170608.pdf"
"4th Assembly – 3rd Session","20170607","https://assembly.nu.ca/sites/default/files/Hansard_20170607.pdf"
"4th Assembly – 3rd Session","20170606","https://assembly.nu.ca/sites/default/files/Hansard_20170606.pdf"
"4th Assembly – 3rd Session","20170605","https://assembly.nu.ca/sites/default/files/Hansard_20170605.pdf"
"4th Assembly – 3rd Session","20170602","https://assembly.nu.ca/sites/default/files/Hansard_20170602.pdf"
"4th Assembly – 3rd Session","20170601","https://assembly.nu.ca/sites/default/files/Hansard_20170601.pdf"
"4th Assembly – 3rd Session","20170531","https://assembly.nu.ca/sites/default/files/Hansard_20170531.pdf"
"4th Assembly – 3rd Session","20170530","https://assembly.nu.ca/sites/default/files/Hansard_20170530.pdf"
"4th Assembly – 3rd Session","20170314","https://assembly.nu.ca/sites/default/files/Hansard_20170314.pdf"
"4th Assembly – 3rd Session","20170313","https://assembly.nu.ca/sites/default/files/Hansard_20170313.pdf"
"4th Assembly – 3rd Session","20170311","https://assembly.nu.ca/sites/default/files/Hansard_20170311_0.pdf"
"4th Assembly – 3rd Session","20170310","https://assembly.nu.ca/sites/default/files/Hansard_20170310.pdf"
"4th Assembly – 3rd Session","20170309","https://assembly.nu.ca/sites/default/files/Hansard_20170309.pdf"
"4th Assembly – 3rd Session","20170308","https://assembly.nu.ca/sites/default/files/Hansard_20170308.pdf"
"4th Assembly – 3rd Session","20170307","https://assembly.nu.ca/sites/default/files/Hansard_20170307.pdf"
"4th Assembly – 3rd Session","20170306","https://assembly.nu.ca/sites/default/files/Hansard_20170306.pdf"
"4th Assembly – 3rd Session","20170303","https://assembly.nu.ca/sites/default/files/Hansard_20170303.pdf"
"4th Assembly – 3rd Session","20170302","https://assembly.nu.ca/sites/default/files/Hansard_20170302.pdf"
"4th Assembly – 3rd Session","20170301","https://assembly.nu.ca/sites/default/files/Hansard_20170301_0.pdf"
"4th Assembly – 3rd Session","20170228","https://assembly.nu.ca/sites/default/files/Hansard_20170228.pdf"
"4th Assembly – 3rd Session","20170227","https://assembly.nu.ca/sites/default/files/Hansard_20170227.pdf"
"4th Assembly – 3rd Session","20170224","https://assembly.nu.ca/sites/default/files/Hansard_20170224.pdf"
"4th Assembly – 3rd Session","20170223","https://assembly.nu.ca/sites/default/files/Hansard_20170223.pdf"
"4th Assembly – 3rd Session","20170222","https://assembly.nu.ca/sites/default/files/Hansard_20170222.pdf"
"4th Assembly – 3rd Session","20170221","https://assembly.nu.ca/sites/default/files/Hansard_20170221.pdf"
"4th Assembly – 3rd Session","20161108","https://assembly.nu.ca/sites/default/files/Hansard_20161108.pdf"
"4th Assembly – 3rd Session","20161107","https://assembly.nu.ca/sites/default/files/Hansard_20161107.pdf"
"4th Assembly – 3rd Session","20161104","https://assembly.nu.ca/sites/default/files/Hansard_20161104.pdf"
"4th Assembly – 3rd Session","20161103","https://assembly.nu.ca/sites/default/files/Hansard_20161103.pdf"
"4th Assembly – 3rd Session","20161102","https://assembly.nu.ca/sites/default/files/Hansard_20161102.pdf"
"4th Assembly – 3rd Session","20161101","https://assembly.nu.ca/sites/default/files/Hansard_20161101.pdf"
"4th Assembly – 3rd Session","20161031","https://assembly.nu.ca/sites/default/files/Hansard_20161031.pdf"
"4th Assembly – 3rd Session","20161028","https://assembly.nu.ca/sites/default/files/Hansard_20161028.pdf"
"4th Assembly – 3rd Session","20161027","https://assembly.nu.ca/sites/default/files/Hansard_20161027.pdf"
"4th Assembly – 3rd Session","20161026","https://assembly.nu.ca/sites/default/files/Hansard_20161026.pdf"
"4th Assembly – 3rd Session","20161025","https://assembly.nu.ca/sites/default/files/Hansard_20161025.pdf"
"4th Assembly – 3rd Session","20161024","https://assembly.nu.ca/sites/default/files/Hansard_20161024.pdf"
"4th Assembly – 3rd Session","20161021","https://assembly.nu.ca/sites/default/files/Hansard_20161021.pdf"
"4th Assembly – 3rd Session","20161020","https://assembly.nu.ca/sites/default/files/Hansard_20161020.pdf"
"4th Assembly – 3rd Session","20161019","https://assembly.nu.ca/sites/default/files/Hansard_20161019.pdf"
